Observation_Date,15_Year_Annual_Average_Rate,15_Year_Annual_Average_Points,30_Year_Annual_Average_Rate,30_Year_Annual_Average_Points,Data_Source_Link
1/1/2011,3.68,0.7,4.45,0.7,https://www.freddiemac.com/pmms/pmms30
1/1/2012,2.93,0.7,3.66,0.7,https://www.freddiemac.com/pmms/pmms30
1/1/2013,3.11,0.7,3.98,0.7,https://www.freddiemac.com/pmms/pmms30
1/1/2014,3.29,0.6,4.17,0.6,https://www.freddiemac.com/pmms/pmms30
1/1/2015,3.09,0.6,3.85,0.6,https://www.freddiemac.com/pmms/pmms30
1/1/2016,2.93,0.5,3.65,0.5,https://www.freddiemac.com/pmms/pmms30
1/1/2017,3.28,0.5,3.99,0.5,https://www.freddiemac.com/pmms/pmms30
1/1/2018,4,0.5,4.54,0.5,https://www.freddiemac.com/pmms/pmms30
1/1/2019,3.39,0.48,3.94,0.53,https://www.freddiemac.com/pmms/pmms30
1/1/2020,2.61,0.7,3.11,0.74,https://www.freddiemac.com/pmms/pmms30
1/1/2021,2.27,0.63,2.96,0.69,https://www.freddiemac.com/pmms/pmms30
