2021 rank,City,State[c],City,Rank
32,Albuquerque,New Mexico,Albuquerque,32
55,Anaheim,California,Anaheim,55
73,Anchorage[q],Alaska,Anchorage,73
50,Arlington,Texas,Arlington,50
38,Atlanta,Georgia,Atlanta,38
51,Aurora,Colorado,Aurora,51
11,Austin,Texas,Austin,11
48,Bakersfield,California,Bakersfield,48
30,Baltimore[m],Maryland,Baltimore,30
24,Boston,Massachusetts,Boston,24
16,Charlotte,North Carolina,Charlotte,16
3,Chicago,Illinois,Chicago,3
65,Cincinnati,Ohio,Cincinnati,65
54,Cleveland,Ohio,Cleveland,54
40,Colorado Springs,Colorado,Colorado Springs,40
14,Columbus,Ohio,Columbus,14
60,Corpus Christi,Texas,Corpus Christi,60
9,Dallas,Texas,Dallas,9
19,Denver[i],Colorado,Denver,19
27,Detroit,Michigan,Detroit,27
74,Durham,North Carolina,Durham,74
22,El Paso,Texas,El Paso,22
13,Fort Worth,Texas,Fort Worth,13
33,Fresno,California,Fresno,33
69,Greensboro,North Carolina,Greensboro,69
57,Henderson,Nevada,Henderson,57
56,Honolulu[o],Hawaii,,
4,Houston,Texas,Houston,4
15,Indianapolis[g],Indiana,Indianapolis,15
64,Irvine,California,Irvine,64
12,Jacksonville[f],Florida,Jacksonville,12
75,Jersey City,New Jersey,Jersey City,75
37,Kansas City,Missouri,Kansas City,37
25,Las Vegas,Nevada,Las Vegas,25
59,Lexington[p],Kentucky,Lexington,59
71,Lincoln,Nebraska,Lincoln,71
43,Long Beach,California,Long Beach,43
2,Los Angeles,California,Los Angeles,2
28,Louisville[l],Kentucky,,
29,Memphis,Tennessee,Memphis,29
36,Mesa,Arizona,Mesa,36
44,Miami,Florida,Miami,44
31,Milwaukee,Wisconsin,Milwaukee,31
46,Minneapolis,Minnesota,Minneapolis,46
21,Nashville[j],Tennessee,Nashville,21
53,New Orleans[n],Louisiana,New Orleans,53
1,New York[d],New York,New York,1
66,Newark,New Jersey,Newark,66
45,Oakland,California,Oakland,45
20,Oklahoma City,Oklahoma,Oklahoma City,20
39,Omaha,Nebraska,Omaha,39
63,Orlando,Florida,Orlando,63
6,Philadelphia[e],Pennsylvania,Philadelphia,6
5,Phoenix,Arizona,Phoenix,5
68,Pittsburgh,Pennsylvania,Pittsburgh,68
72,Plano,Texas,Plano,72
26,Portland,Oregon,Portland,26
41,Raleigh,North Carolina,Raleigh,41
61,Riverside,California,Riverside,61
35,Sacramento,California,Sacramento,35
67,Saint Paul,Minnesota,St. Paul,67
7,San Antonio,Texas,San Antonio,7
8,San Diego,California,San Diego,8
17,San Francisco[h],California,San Francisco,17
10,San Jose,California,San Jose,10
62,Santa Ana,California,Santa Ana,62
18,Seattle,Washington,Seattle,18
70,St. Louis[m],Missouri,St. Louis,70
58,Stockton,California,Stockton,58
52,Tampa,Florida,Tampa,52
34,Tucson,Arizona,Tucson,34
47,Tulsa,Oklahoma,Tulsa,47
42,Virginia Beach[m],Virginia,Virginia Beach,42
23,Washington[k],District of Columbia,Washington,23
49,Wichita,Kansas,Wichita,49
